date,author,title,tags
7-Jan-20,John Aven,Evolving Data Science,Data Engineering
29-Sep-21,Kedar Waval,Snowflake External Tables Quick Setup Guide,Cloud Computing
1-Sep-21,Hashmap,"Creating a Modern SQL Notebook with Oliver Hughes, Co-Founder & CEO of Count",Sql Notebook
9-Aug-21,Venkat Sekar,Cataloging Metadata in Snowflake with SnowCAT,Cloud Computing
28-Jul-21,Chinmayee Lakkad,Why You Should Use Snowflake's External Tables,Data Lake
19-Jul-21,Hashmap,Behind the Scenes of Our 2021 Cloud Data Platform Benchmarking & Analysis,Cloud Data Warehouse
9-Jul-21,Venkat Sekar,Using AWS SAM to Develop Snowflake External Functions,Aws Api Gateway
24-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Data
22-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 2,Snowdq
16-Jun-21,Hashmap,Everything You Missed at Snowflake Summit 2021,Data Engineering
9-Jun-21,George Luft,Bring Your Code to the Snowflake Data Cloud with Snowpark,Cloud
26-May-21,Venkat Sekar,How to Perform a UNION Operation in Snowflake on Tables with Mismatched Columns,Cloud Computing
19-May-21,Hashmap,Change Data Capture & Hashmap Data Cataloger (hdc),Cloud Migration
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 1,Python
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 1,Gcp
2-Feb-21,Archit Pandita,Exploring Builder and Factory Design Patterns,Development
27-Jan-21,Laurent Weichberger,HDP 3 (AWS) Cluster Migration to CDP Public Cloud on MS Azure,Data
25-Jan-21,Archit Pandita,Getting Started with Snowflake Using Python,Automation
15-Jan-21,Sam Kohlleffel,Cloudy Warehouses Simplifying Snowflake & pandas DataFrames Interaction,Snowflake Connector
12-Jan-21,Sergey Gershkovich & Kelly Kohlleffel,Transitioning from SAP BW to Snowflake,Cloud Computing
8-Jan-21,Preetpal Singh,Migrating from Oracle Exadata by Modernizing with Snowflake,Data
4-Jan-21,The Hashmap Team,"A New Journey Starts for Hashmap, an NTT DATA Company",Acquisition
11-Dec-20,The Hashmap Team,NTT DATA Services Announces Intent to Acquire Hashmap,Growth
3-Dec-20,Mohini Kalamkar,How to Put the Azure Data Factory (ADF) Snowflake Connector to Use,Azure
19-Nov-20,John Aven,"Building ML Pipelines
What is a DAG?",Data Science
5-Nov-20,John Aven,Why I Love MLflow,DevOps
16-Oct-20,Mohini Kalamkar,5 Steps to Converting Python Jobs to PySpark,Koalas
6-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3: Snowflake Healthcheck,AWS
21-Sep-20,Sam Kohlleffel,How We Automated Snowflake Data Profiler,Data
24-Aug-20,Randy Pitcher,Your Mega Guide to the 3 Stages of Netezza to Snowflake Migrations,Netezza To Snowflake
13-Aug-20,Yu Fai Wong,dbt Orchestration in Azure DevOps Pipelines,Dbt
30-Jun-20,Venkat Sekar,Unit Testing on dbt Models Using a Static Test Dataset in Snowflake,Cloud
12-Jun-20,Luke Kline,7 Core Tenets to Know Before You Develop Data & Analytics Products,Simplicity
28-Apr-20,Venkat Sekar,Housekeeping in Snowflake with SQL and DBT,Data
21-Apr-20,Venkat Sekar,Data Materialization in Snowflake Using Confluent Kafka Connect: Part 2,Open Source
20-Mar-20,Venkat Sekar,3 Steps to Find Access Patterns in Snowflake Using Hierarchical Queries,Data
13-Feb-20,Venkat Sekar,How to Query Snowflake Using Azure Functions with Node.js,Functions As A Service
30-Jan-20,John Aven,Snowflake Solution Anti-Patterns: Spark is My Hammer,Spark
28-Jan-20,Kelly Kohlleffel,3 Best Practices for On-Prem to Snowflake,Snowflake
7-Jan-20,John Aven,Deploying Machine Learning Solutions,Data Engineering
6-Jan-20,Chinmayee Lakkad,Schema Unification with Snowflake,Cloud Computing
27-Sep-21,Hashmap,"Perspectives on Data Value and Data Catalogs with Castor Co-Founder & CEO, Tristan Mayer",Data Discovery
25-Aug-21,Hashmap,Delivering an AI-Driven Approach to Analytics with Cindi Howson of ThoughtSpot,Data
5-Aug-21,Archit Pandita,Optimizing ADF Pipelines for Data Ingestion,Cloud Computing
23-Jul-21,Hashmap,Improving Snowflake Data Quality with SnowDQ,Snowdq
16-Jul-21,Hashmap,SqlDBM: No Code Data Modeling for Cloud Data Warehouses with Anna Abramova,No Code
7-Jul-21,Hashmap,Answers to 5 Common Snowflake Questions,Data Engineering
23-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Need To Know
21-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 1,Data
16-Jun-21,Hashmap,Hashmap Wins Snowflake's Ski Lift Content Competition for the 2nd Straight Year,Data
1-Jun-21,Hashmap,"The Origins and Future of Fivetran with George Fraser
Hashmap on Tap, Ep. 74",Data
24-May-21,Hashmap,We're Excited for Snowflake Summit 2021 Here's Why,Cloud Migration
14-May-21,Hashmap,Digging into Data Governance and Data Modeling,Cloud
3-May-21,Shekhar Parnerkar,A Quick Start Guide to Change Data Capture with Debezium,Data
17-Mar-21,David Hrncir and Chinmayee Lakkad,Extracting Facebook Insights via Fivetran and Snowflake,Cloud
4-Feb-21,Jhimli Bora,Understanding Great Expectations and How to Use It,Open Source
29-Jan-21,Venkat Sekar,Cataloging Metadata in Snowflake,Cloud Computing
26-Jan-21,Jhimli Bora,Data Science for Executives,Artificial Intelligence
19-Jan-21,Scottie Bryan,Strategy and the Cloud Access to Data,Cloud Migration
13-Jan-21,Scottie Bryan,"Strategy and the Cloud Delegate, Delegate, Delegate",Business Strategy
12-Jan-21,Scottie Bryan,Strategy and the Cloud Think Strategic,Strategy
8-Jan-21,John Aven & Jhimli Bora,Introducing Hashmap Data Migrator,Data
21-Dec-20,Archit Pandita,What's New with Airflow 2.0,Kubernetes
4-Dec-20,John Aven,"Exploring DevOps Options
Working with GitLab",Version Control
23-Nov-20,Sam Kohlleffel,Creating Reusable CI/CD Pipelines with GitLab,Python
18-Nov-20,Venkat Sekar,Verifying Deployment Using Terraform State Files,DevOps
28-Oct-20,John Aven,Building ML Pipelines,Kubernetes
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 3): Snowflake Healthcheck,Cloud Computing
5-Oct-20,Randy Pitcher,Supercharge Your Snowflake Billing Statement with Custom User Metrics,Cloud Computing
10-Sep-20,Laurent Weichberger and Shubham Nikam,Hortonworks Data Platform 2.6.5 In-Place Upgrade to Cloudera Data Platform 7,Ambari
18-Aug-20,Sam Kohlleffel,How to Get a Snowflake Data Quality Assessment in 60 Seconds,Data Quality
4-Aug-20,Senthil Anandarangan & Ganesh Hegde,How to Connect S3 Data to Looker using Starburst Presto,Looker
23-Jun-20,Venkat Sekar,Deploying and Running dbt on AWS Fargate,Snowflake
12-May-20,Randy Pitcher,Automate Code Deployment with AWS EC2 Build Agents for your Azure DevOps Pipelines,Aws Ec2
23-Apr-20,Luke Kline,"My Top 2 Time-Saving, Data Quality Solutions for Hubspot",Marketing
20-Apr-20,Venkat Sekar,Data Sync to Snowflake Using Confluent Kafka Connect: Part 1,Open Source
20-Feb-20,Venkat Sekar,"Quickly Visualize Snowflake's Roles, Grants, and Privileges",Data
31-Jan-20,John Aven,Data Science Repo Scaffolding for the Next Generation,AI
29-Jan-20,Randy Pitcher,The Hitchhiker's Guide to Timestamps in Snowflake: Part 1,Datatypes In Snowflake
27-Jan-20,John Aven,Streamsets & Snowflake:,Data
7-Jan-20,John Aven,Versioning Data Science Solutions,Versioning
20-Oct-21,Hashmap,"Lessons Learned in Building a Modern Data Stack with Erik Jones from Hyperscience
Hashmap on Tap Ep. 90'�",Data
14-Sep-21,Hashmap,"The Power of Community and Analytics Engineering with Tristan Handy, Founder & CEO of dbt Labs",Analytics Engineering
18-Aug-21,Hashmap,"Digging Into DataOps and Its Benefits, Hashmap on Tap Podcast, Ep. 83",DevOps
4-Aug-21,Mohini Kalamkar,Getting to Know Snowflake Snowsight Snowflake's Interactive SQL Editor,Analytics
21-Jul-21,Venkat Sekar,Parsing Complex Excel Files Using Snowflake's New Java UDF Feature,Snowflake File Parsing
12-Jul-21,Jalindar Karande,Sending Email Notifications from Snowflake Using External Functions,Cloud Computing
7-Jul-21,Hashmap,Developing SQL-Based Streaming Data Apps with Arjun Narayan of Materialize,Streaming
23-Jun-21,Hashmap,Monte Carlo: Using Data Observability to Improve Data Reliability,Data Analytics
17-Jun-21,Jalindar Karande,Handling Deadlocks in Snowflake,Elt
15-Jun-21,Hashmap,Epiq Global: Simplifying eDiscovery with Snowflake,Ediscovery
26-May-21,Shubham Nikam and Laurent Weichberger,How to Perform a Cloudera CDH v6 Migration to CDP Public Cloud (AWS),Open Source
24-May-21,Shekhar Parnerkar,A Quick Start Guide to Using the Snowflake Connector for Kafka,Cloud Computing
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 2,Migration
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 2,Deployment
28-Jan-21,Sam Kohlleffel,Cloudy SQL Querying Snowflake Inside a Jupyter Notebook,Machine Learning
26-Jan-21,Prabha Rashmi,Know Your Data Pipelines with Great Expectations,Data
18-Jan-21,Venkat Sekar,Integrating dbt with Azure Data Factory (ADF),Data
12-Jan-21,Jhimli Bora & John Aven,Understanding State Management in Hashmap Data Migrator,Cloud Computing
11-Jan-21,Jhimli Bora & John Aven,"Accelerating Netezza to Snowflake Migrations
Using Hashmap Data Migrator",Data
7-Jan-21,Venkat Sekar,Deploying and Running dbt on Azure Container Instances,Data
16-Dec-20,The Hashmap Team,Hashmap Engineering & Technology: Our Top 10 Most Popular Articles in 2020,Cloud
3-Dec-20,Sam Kohlleffel,Behind the Scenes of Snowflake Healthcheck,Cloud Computing
19-Nov-20,John Aven,"Building ML Pipelines
Dockerizing Your Code",Machine Learning
18-Nov-20,Shekhar Parnerkar and Gaurav Kholiya,"Staging, Ingesting, and Transforming Excel Files",Data Management
20-Oct-20,Shekhar Parnerkar and Pooja Sankpal,Four Steps for Migrating from Hive 2.x to 3.x,Cloud Computing
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 2): Snowflake Healthcheck,Cloud Computing
25-Sep-20,Shekhar Parnerkar,Make The Most Of Your Azure Data Factory Pipelines,Data
26-Aug-20,Kelly Kohlleffel,How To Get Rid of Data Integration Option Fatigue in Just 10 Minutes,Outcomes
14-Aug-20,Senthil Anandarangan & Ganesh Hegde,Using Starburst Presto to Federate SQL Queries Across Multiple Data Sources,Data
9-Jul-20,Venkat Sekar,How to Integrate SQL Databases with Snowflake Using AWS Glue,Cloud
12-Jun-20,Kieran Healey & Senthil Anandarangan,ADF Snowflake Connector: A Bit Underbaked,Cloud Computing
30-Apr-20,Prakash Bharathi & Kelly Kohlleffel,"Talking Data, the Cloud, Matillion, and Snowflake",Elt
22-Apr-20,Randy Pitcher,Snowflake Cheatsheet | 3 Approaches to Creating Users,Cloud Computing
15-Apr-20,Yu Fai Wong,Moving On-Prem Oracle Databases to Snowflake,Cloud
20-Feb-20,Kieran Healey,#Tech in 5 Real-Time Architecture,Cloud Computing
30-Jan-20,Kieran Healey,Snowflake Azure Storage Integration,Cloud Computing
29-Jan-20,John Aven,Snowflake Anti-Patterns: The Probable Data Scientist,Data Science
10-Jan-20,Kieran Healey,#Tech in 5 Snowflake & Dask,Open Source
7-Jan-20,John Aven,Evolving Data Science,Analytics
29-Sep-21,Kedar Waval,Snowflake External Tables Quick Setup Guide,Data
1-Sep-21,Hashmap,"Creating a Modern SQL Notebook with Oliver Hughes, Co-Founder & CEO of Count",Count
9-Aug-21,Venkat Sekar,Cataloging Metadata in Snowflake with SnowCAT,Data Discovery
28-Jul-21,Chinmayee Lakkad,Why You Should Use Snowflake's External Tables,Snowflake Data Cloud
19-Jul-21,Hashmap,Behind the Scenes of Our 2021 Cloud Data Platform Benchmarking & Analysis,Snowflake
9-Jul-21,Venkat Sekar,Using AWS SAM to Develop Snowflake External Functions,Aws Sam
24-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Cloud Migration
22-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 2,Data
16-Jun-21,Hashmap,Everything You Missed at Snowflake Summit 2021,Cloud Computing
9-Jun-21,George Luft,Bring Your Code to the Snowflake Data Cloud with Snowpark,Cloud Computing
26-May-21,Venkat Sekar,How to Perform a UNION Operation in Snowflake on Tables with Mismatched Columns,Cloud
19-May-21,Hashmap,Change Data Capture & Hashmap Data Cataloger (hdc),Data Migration
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 1,Data
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 1,DevOps
2-Feb-21,Archit Pandita,Exploring Builder and Factory Design Patterns,Data
27-Jan-21,Laurent Weichberger,HDP 3 (AWS) Cluster Migration to CDP Public Cloud on MS Azure,Cloud Computing
25-Jan-21,Archit Pandita,Getting Started with Snowflake Using Python,Cloud Computing
15-Jan-21,Sam Kohlleffel,Cloudy Warehouses Simplifying Snowflake & pandas DataFrames Interaction,Cloud Computing
12-Jan-21,Sergey Gershkovich & Kelly Kohlleffel,Transitioning from SAP BW to Snowflake,Data
8-Jan-21,Preetpal Singh,Migrating from Oracle Exadata by Modernizing with Snowflake,Snowflake Data Cloud
4-Jan-21,The Hashmap Team,"A New Journey Starts for Hashmap, an NTT DATA Company",Growth
11-Dec-20,The Hashmap Team,NTT DATA Services Announces Intent to Acquire Hashmap,Machine Learning
3-Dec-20,Mohini Kalamkar,How to Put the Azure Data Factory (ADF) Snowflake Connector to Use,Cloud Computing
19-Nov-20,John Aven,"Building ML Pipelines
What is a DAG?",Directed Acyclic Graph
5-Nov-20,John Aven,Why I Love MLflow,Machine Learning
16-Oct-20,Mohini Kalamkar,5 Steps to Converting Python Jobs to PySpark,Spark
6-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3: Snowflake Healthcheck,Snowflake Healthcheck
21-Sep-20,Sam Kohlleffel,How We Automated Snowflake Data Profiler,Cloud Computing
24-Aug-20,Randy Pitcher,Your Mega Guide to the 3 Stages of Netezza to Snowflake Migrations,Cloud Data Warehousing
13-Aug-20,Yu Fai Wong,dbt Orchestration in Azure DevOps Pipelines,Data
30-Jun-20,Venkat Sekar,Unit Testing on dbt Models Using a Static Test Dataset in Snowflake,Open Source
12-Jun-20,Luke Kline,7 Core Tenets to Know Before You Develop Data & Analytics Products,Cloud Computing
28-Apr-20,Venkat Sekar,Housekeeping in Snowflake with SQL and DBT,Data Warehouse
21-Apr-20,Venkat Sekar,Data Materialization in Snowflake Using Confluent Kafka Connect: Part 2,Data
20-Mar-20,Venkat Sekar,3 Steps to Find Access Patterns in Snowflake Using Hierarchical Queries,Cloud
13-Feb-20,Venkat Sekar,How to Query Snowflake Using Azure Functions with Node.js,Nodejs
30-Jan-20,John Aven,Snowflake Solution Anti-Patterns: Spark is My Hammer,Antipattern
28-Jan-20,Kelly Kohlleffel,3 Best Practices for On-Prem to Snowflake,Modernizing
7-Jan-20,John Aven,Deploying Machine Learning Solutions,Mlops
6-Jan-20,Chinmayee Lakkad,Schema Unification with Snowflake,Data
27-Sep-21,Hashmap,"Perspectives on Data Value and Data Catalogs with Castor Co-Founder & CEO, Tristan Mayer",Castor
25-Aug-21,Hashmap,Delivering an AI-Driven Approach to Analytics with Cindi Howson of ThoughtSpot,AI
5-Aug-21,Archit Pandita,Optimizing ADF Pipelines for Data Ingestion,Data Pipeline
23-Jul-21,Hashmap,Improving Snowflake Data Quality with SnowDQ,Data
16-Jul-21,Hashmap,SqlDBM: No Code Data Modeling for Cloud Data Warehouses with Anna Abramova,Snowflake
7-Jul-21,Hashmap,Answers to 5 Common Snowflake Questions,Cloud Computing
23-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Snowflake Data Cloud
21-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 1,Cloud Computing
16-Jun-21,Hashmap,Hashmap Wins Snowflake's Ski Lift Content Competition for the 2nd Straight Year,Data Warehouse
1-Jun-21,Hashmap,"The Origins and Future of Fivetran with George Fraser
Hashmap on Tap, Ep. 74",Cloud Computing
24-May-21,Hashmap,We're Excited for Snowflake Summit 2021 Here's Why,Data
14-May-21,Hashmap,Digging into Data Governance and Data Modeling,Data Strategy
3-May-21,Shekhar Parnerkar,A Quick Start Guide to Change Data Capture with Debezium,Open Source
17-Mar-21,David Hrncir and Chinmayee Lakkad,Extracting Facebook Insights via Fivetran and Snowflake,Data
4-Feb-21,Jhimli Bora,Understanding Great Expectations and How to Use It,Data Validation
29-Jan-21,Venkat Sekar,Cataloging Metadata in Snowflake,Data
26-Jan-21,Jhimli Bora,Data Science for Executives,Data Science
19-Jan-21,Scottie Bryan,Strategy and the Cloud Access to Data,Data Migration
13-Jan-21,Scottie Bryan,"Strategy and the Cloud Delegate, Delegate, Delegate",Delegation
12-Jan-21,Scottie Bryan,Strategy and the Cloud Think Strategic,Business Strategy
8-Jan-21,John Aven & Jhimli Bora,Introducing Hashmap Data Migrator,Cloud Computing
21-Dec-20,Archit Pandita,What's New with Airflow 2.0,Open Source
4-Dec-20,John Aven,"Exploring DevOps Options
Working with GitLab",Git
23-Nov-20,Sam Kohlleffel,Creating Reusable CI/CD Pipelines with GitLab,DevOps
18-Nov-20,Venkat Sekar,Verifying Deployment Using Terraform State Files,Hashicorp
28-Oct-20,John Aven,Building ML Pipelines,Machine Learning
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 3): Snowflake Healthcheck,Data
5-Oct-20,Randy Pitcher,Supercharge Your Snowflake Billing Statement with Custom User Metrics,Automation
10-Sep-20,Laurent Weichberger and Shubham Nikam,Hortonworks Data Platform 2.6.5 In-Place Upgrade to Cloudera Data Platform 7,Hortonworks
18-Aug-20,Sam Kohlleffel,How to Get a Snowflake Data Quality Assessment in 60 Seconds,Cloud Data Warehouse
4-Aug-20,Senthil Anandarangan & Ganesh Hegde,How to Connect S3 Data to Looker using Starburst Presto,Data
23-Jun-20,Venkat Sekar,Deploying and Running dbt on AWS Fargate,Data
12-May-20,Randy Pitcher,Automate Code Deployment with AWS EC2 Build Agents for your Azure DevOps Pipelines,Cloud Computing
23-Apr-20,Luke Kline,"My Top 2 Time-Saving, Data Quality Solutions for Hubspot",Cloud Computing
20-Apr-20,Venkat Sekar,Data Sync to Snowflake Using Confluent Kafka Connect: Part 1,Kafka
20-Feb-20,Venkat Sekar,"Quickly Visualize Snowflake's Roles, Grants, and Privileges",Snowflake Computing
31-Jan-20,John Aven,Data Science Repo Scaffolding for the Next Generation,Evolving Data Science
29-Jan-20,Randy Pitcher,The Hitchhiker's Guide to Timestamps in Snowflake: Part 1,Timestamps In Snowflake
27-Jan-20,John Aven,Streamsets & Snowflake:,Open Source
7-Jan-20,John Aven,Versioning Data Science Solutions,Version Control System
